net_id,from_id,to_id,value
2004-12-31,AU,JP,14.42
2004-12-31,GB,JP,625.87
2004-12-31,GB,US,7696.25
2004-12-31,NL,JP,511.3
2004-12-31,US,JP,702.66
2005-03-31,AU,AT,4.99
2005-03-31,AU,BE,11.35
2005-03-31,AU,CA,18.84
2005-03-31,AU,CH,19.74
2005-03-31,AU,CL,0.79
2005-03-31,AU,DE,70.29
2005-03-31,AU,ES,8.58
2005-03-31,AU,FI,5.53
2005-03-31,AU,FR,50.28
2005-03-31,AU,GB,616.87
2005-03-31,AU,GR,0.54
2005-03-31,AU,IE,5.58
2005-03-31,AU,IN,3.76
2005-03-31,AU,IT,11.52
2005-03-31,AU,JP,11.29
2005-03-31,AU,KR,24.62
2005-03-31,AU,NL,74.65
2005-03-31,AU,PT,1.61
2005-03-31,AU,SE,1.22
2005-03-31,AU,TR,0.52
2005-03-31,AU,US,244.75
2005-03-31,BE,AT,58.24
2005-03-31,BE,AU,52.45
2005-03-31,BE,CA,36.24
2005-03-31,BE,CH,95.04
2005-03-31,BE,CL,1.24
2005-03-31,BE,DE,737.15
2005-03-31,BE,ES,196.01
2005-03-31,BE,FI,24.82
2005-03-31,BE,FR,737.6
2005-03-31,BE,GB,1109.86
2005-03-31,BE,GR,122.65
2005-03-31,BE,IE,225.74
2005-03-31,BE,IN,5.07
2005-03-31,BE,IT,754.09
2005-03-31,BE,JP,48.03
2005-03-31,BE,KR,12.24
2005-03-31,BE,NL,1575.19
2005-03-31,BE,PT,95.12
2005-03-31,BE,SE,21.29
2005-03-31,BE,TR,13.75
2005-03-31,BE,US,1101.26
2005-03-31,CL,AT,0.01
2005-03-31,CL,AU,0.1
2005-03-31,CL,BE,0.01
2005-03-31,CL,CA,0.04
2005-03-31,CL,CH,0.24
2005-03-31,CL,DE,1.14
2005-03-31,CL,ES,0.62
2005-03-31,CL,FI,0.06
2005-03-31,CL,FR,0.38
2005-03-31,CL,GB,0.86
2005-03-31,CL,GR,0.06
2005-03-31,CL,IN,0.02
2005-03-31,CL,IT,0.18
2005-03-31,CL,JP,0.05
2005-03-31,CL,KR,0.47
2005-03-31,CL,NL,0.09
2005-03-31,CL,US,8.21
2005-03-31,DE,AT,1494.59
2005-03-31,DE,AU,315.73
2005-03-31,DE,BE,658.31
2005-03-31,DE,CA,223.18
2005-03-31,DE,CH,536.93
2005-03-31,DE,CL,27.78
2005-03-31,DE,ES,1231.91
2005-03-31,DE,FI,153.63
2005-03-31,DE,FR,2003.53
2005-03-31,DE,GB,7242.74
2005-03-31,DE,GR,391.13
2005-03-31,DE,IE,1010.9
2005-03-31,DE,IN,76.12
2005-03-31,DE,IT,1802.7
2005-03-31,DE,JP,1064.71
2005-03-31,DE,KR,81.48
2005-03-31,DE,NL,1348.9
2005-03-31,DE,PT,300.65
2005-03-31,DE,SE,295.48
2005-03-31,DE,TR,99.42
2005-03-31,DE,US,5620.55
2005-03-31,FR,AT,74.26
2005-03-31,FR,AU,314.63
2005-03-31,FR,BE,556.07
2005-03-31,FR,CA,152.14
2005-03-31,FR,CH,307.67
2005-03-31,FR,CL,14.8
2005-03-31,FR,DE,1260.44
2005-03-31,FR,ES,732.96
2005-03-31,FR,FI,47.5
2005-03-31,FR,GB,2168.78
2005-03-31,FR,GR,189.31
2005-03-31,FR,IE,284.39
2005-03-31,FR,IN,34.24
2005-03-31,FR,IT,1237.65
2005-03-31,FR,JP,930.75
2005-03-31,FR,KR,109.12
2005-03-31,FR,NL,795.16
2005-03-31,FR,PT,143.16
2005-03-31,FR,SE,81.17
2005-03-31,FR,TR,31.88
2005-03-31,FR,US,4064.35
2005-03-31,GB,AT,142.78
2005-03-31,GB,AU,873.48
2005-03-31,GB,BE,548.22
2005-03-31,GB,CA,610.26
2005-03-31,GB,CH,380.76
2005-03-31,GB,CL,17.9
2005-03-31,GB,DE,1502.28
2005-03-31,GB,ES,723.78
2005-03-31,GB,FI,79.25
2005-03-31,GB,FR,1547.25
2005-03-31,GB,GR,90.74
2005-03-31,GB,IE,1016.62
2005-03-31,GB,IN,179.32
2005-03-31,GB,IT,682.32
2005-03-31,GB,JP,696.61
2005-03-31,GB,KR,202.54
2005-03-31,GB,NL,903.84
2005-03-31,GB,PT,153.39
2005-03-31,GB,SE,155.58
2005-03-31,GB,TR,71.67
2005-03-31,GB,US,8542.51
2005-03-31,GR,AT,8.77
2005-03-31,GR,AU,0.42
2005-03-31,GR,BE,8.04
2005-03-31,GR,CA,4.84
2005-03-31,GR,CH,1.74
2005-03-31,GR,DE,8.89
2005-03-31,GR,ES,0.23
2005-03-31,GR,FI,2.92
2005-03-31,GR,FR,12.97
2005-03-31,GR,GB,26.73
2005-03-31,GR,IE,3.51
2005-03-31,GR,IN,0.05
2005-03-31,GR,IT,11.58
2005-03-31,GR,JP,1.66
2005-03-31,GR,KR,0.32
2005-03-31,GR,NL,6.41
2005-03-31,GR,PT,0.54
2005-03-31,GR,SE,0.64
2005-03-31,GR,TR,2.93
2005-03-31,GR,US,80.86
2005-03-31,IT,AT,41.53
2005-03-31,IT,AU,7.67
2005-03-31,IT,BE,51.73
2005-03-31,IT,CA,6.28
2005-03-31,IT,CH,65.69
2005-03-31,IT,CL,3.85
2005-03-31,IT,DE,418.47
2005-03-31,IT,ES,115.2
2005-03-31,IT,FI,3.69
2005-03-31,IT,FR,267.75
2005-03-31,IT,GB,314.92
2005-03-31,IT,GR,53.91
2005-03-31,IT,IE,103.01
2005-03-31,IT,IN,6.35
2005-03-31,IT,JP,34.54
2005-03-31,IT,KR,9.92
2005-03-31,IT,NL,128.15
2005-03-31,IT,PT,81.16
2005-03-31,IT,SE,11.88
2005-03-31,IT,TR,12.77
2005-03-31,IT,US,328.7
2005-03-31,JP,AT,54.59
2005-03-31,JP,AU,217.76
2005-03-31,JP,BE,141.25
2005-03-31,JP,CA,223.34
2005-03-31,JP,CH,112.8
2005-03-31,JP,CL,11.01
2005-03-31,JP,DE,902.98
2005-03-31,JP,ES,178.91
2005-03-31,JP,FI,33.38
2005-03-31,JP,FR,775.78
2005-03-31,JP,GB,909.14
