IngredientName,IngredientId,PortionUOMTypeId
Bread                                              ,1,11
Bacon                                              ,2,11
Chicken Strips                                     ,3,15
Chicken. oven roasted patty                        ,4,15
Cold Cut Combo                                     ,5,15
Salami                                             ,6,15
Ham                                                ,7,15
Meatballs                                          ,8,15
Pepperoni                                          ,9,15
Roast Beef                                         ,10,15
"Steak, Shaved                                      ",11,15
Tuna                                               ,12,15
Turkey                                             ,13,15
"Cheese, Sliced cheese                              ",14,15
Cookies                                            ,15,11
Flatbread                                          ,16,11
Olives                                             ,17,15
Pickles                                            ,18,15
Jalapeno Peppers                                   ,19,15
Banana Peppers                                     ,20,15
Apples                                             ,21,11
Chips                                              ,22,11
"Yogurt, cup single serve                           ",23,11
DELETE Cucumbers                                   ,24,11
Green Peppers                                      ,25,15
Onions                                             ,26,15
Lettuce                                            ,27,15
Tomatoes                                           ,28,15
Bottled Beverages                                  ,29,11
"Cheese, Shredded Monterey Cheddar                  ",30,15
Parmesan Cheese                                    ,31,15
Oregano                                            ,32,11
Mayonnaise                                         ,33,15
DELETE Mustard                                     ,34,12
Ranch Dressing                                     ,35,15
Buffalo Sauce                                      ,36,15
Chipotle Southwest Sauce                           ,37,15
Honey Mustard Sauce                                ,38,15
Sweet Onion Sauce                                  ,39,15
Teriyaki Glaze                                     ,40,15
DELETE Olive Oil Blend                             ,41,NA
Salt and Pepper                                    ,42,15
Vinegar                                            ,43,15
"Milk, bottle                                       ",44,11
"Cold Cup, 21 oz.                                   ",45,11
"Cold Cup & Lid, 32 oz.                             ",46,11
Avocado                                            ,47,15
Bagels                                             ,48,NA
Biscuits                                           ,49,11
BBQ Rib Patty                                      ,50,11
BBQ Sauce                                          ,51,15
Bologna                                            ,52,15
Brownie                                            ,53,11
Burger Patty                                       ,54,11
Cinnamon Rolls                                     ,55,NA
"Carrots, Shredded                                  ",56,15
BBQ Chicken                                        ,57,15
Croissant                                          ,58,11
Chicken Fritters                                   ,59,15
Chicken Salad                                      ,60,15
Deli Rolls                                         ,61,11
Cinnamon Roll                                      ,62,11
Corned Beef                                        ,63,15
Crackers                                           ,64,NA
"Hot Drink Cups, 12 oz.                             ",65,NA
"Egg, breakfast precooked                           ",66,11
"Egg, liquid                                        ",67,15
"Cup, Hot Cup, 16 oz.                               ",68,11
English Muffin                                     ,69,11
Gravy                                              ,70,15
Hash Browns                                        ,71,15
Muffin Batter                                      ,72,15
Pastry Bites                                       ,73,11
Sausage Patties                                    ,74,15
Fruit cup                                          ,75,NA
Croutons                                           ,76,11
Crushed Red Pepper                                 ,77,NA
"Fish Patty, Breaded                                ",78,NA
Guacamole                                          ,79,15
"Muffins, bakery                                    ",80,11
"Juice, Bottle                                      ",81,11
"Pastrami, beef                                     ",82,15
Pepperoncini                                       ,83,NA
Pulled Pork                                        ,84,15
Salad Dressing Packet                              ,85,11
Red Wine Vinaigrette Sauce                         ,86,15
"Caesar, Savory Caesar Sauce                        ",87,15
"Italian, Zesty Italian Sauce                       ",88,15
"Seafood Sensation, Seafood & Crab Blend            ",89,15
"Spinach, Baby Spinach                              ",90,15
Veggie Patty                                       ,91,11
Marinara Sauce                                     ,92,15
Bread Toppings                                     ,93,15
"Cheese, crumbled                                   ",94,15
"Cups, cold                                         ",95,11
"cups, hot                                          ",96,11
"Cups, Cold 21 oz                                   ",97,11
"Cups, Cold, 16 oz./.4L                             ",98,11
"Cups, Cold, 32 oz./940ml-950ml                     ",99,11
"Lid, cold cup 16/21 oz                             ",100,11
"Lid, cold, cup 32 oz./940ml-950ml                  ",101,11
"Lid, cold cup 44 oz.                               ",102,NA
"Pizza, pre-made                                    ",103,11
"Cheese,Shredded, Mozzarella                        ",104,15
Sausage Pizza crumble                              ,105,15
Pepperoni for Pizza                                ,106,15
"Soup, Frozen                                       ",107,15
"Crackers, soup crackers                            ",108,11
"Bowl, Salad Bowl & Lid                             ",109,11
Fountain Beverage syrup                            ,110,12
"DELETE Beverage, Juice Box                         ",111,12
"Cheese, sliced optional cheeses                    ",112,15
"Bread, Wrap Tortilla                               ",113,11
"Cups, Hot Cup & Lid 16 oz                          ",114,11
"Cups, Hot Cup 12 oz.                               ",115,11
Soup Bowl                                          ,116,11
Olive Vinaigrette Sauce                            ,117,15
"Cups, Cold 44 oz                                   ",118,11
Cucumber                                           ,119,15
Cucumber2                                          ,120,15
Olive Oil Blend                                    ,121,NA
"Olive Oil Blend, Sauce                             ",122,15
Mustards                                           ,123,15
"Cilantro, fresh                                    ",124,15
"Sausage, Italian Style                             ",125,15
Baja Sauce                                         ,126,15
"Yogurt, Bulk                                       ",127,15
"Green Chili, Roasted                               ",128,NA
Balsamic Vinegar                                   ,129,NA
"Iced Tea, Fresh Brewed                             ",130,NA
Salt                                               ,131,15
"Pepper, Black                                      ",132,15
DELETE - Coffee                                    ,133,NA
"Cup, Courtesy                                      ",134,11
Napkins                                            ,135,11
"Cup & lid, Souffle Portion Control,2oz.            ",136,11
"Tray, Prep, Portion Control                        ",137,11
"Bag, Sub bag                                       ",138,11
"Bag, T-shirt Bag                                   ",139,11
"Bag, Specialty Bag                                 ",140,11
"Bag, Catering Bag                                  ",141,NA
"Board, 3 foot sub                                  ",142,11
"Board, 6 foot sub                                  ",143,11
"Box, Giant Sub                                     ",144,11
"Tray, Catering Sandwich Tray                       ",145,11
"Sub Wrap, Paper Wrap                               ",146,11
Straw                                              ,147,11
Gloves                                             ,148,11
"Lid, Hot Cup                                       ",149,11
"Lid, Soup bowl                                     ",150,11
"Box, Subway To Go! Meal                            ",151,11
"Box, Pizza                                         ",152,11
"Cutlery, Knife & Fork Kit                          ",153,11
"Cutlery, Spoon                                     ",154,11
Mints                                              ,155,11
"Lid, Cold Cup 30 oz                                ",156,11
Deli Paper                                         ,157,11
"Chicken Salad, Orchard Chicken Salad               ",158,15
"Seasoning, Herb Chicken                            ",159,11
"Cup, Cold 30 oz.                                   ",160,11
"Cup, Cold, 40 oz.                                  ",161,11
"Lid, Cold Cup 40 oz                                ",162,11
"Beverage, Juice Box                                ",163,11
"Gravy, Biscuit Gravy, Sausage                      ",164,15
BBQ Sauce Packet                                   ,165,NA
Apple Pie                                          ,166,11
"Water, Bottle                                      ",167,11
Bagel                                              ,168,11
Green Chile                                        ,169,15
"Box, Specialty - Small                             ",170,11
"Box, Specialty- Large                              ",171,11
Coffee                                             ,172,15
"Chicken, Oven Crisp                                ",173,15
"Smoothie, Strawberry Concentrate                   ",174,15
"Smoothie, Mango Concentrate                        ",175,15
"Smoothie, Non Fat Vanilla Yogurt                   ",176,15
"Fruit Blend, Parfait                               ",177,15
"Granola, Parfait                                   ",178,11
"Cup & Lid,  7 oz Parfait                           ",179,11
"Lid, Hot Cup 12 & 16 oz                            ",180,11
"Toy, Kids Meal Premium                             ",181,11
Golden Italian Sauce                               ,182,15
