,StoreNumber,date,Quantity
0,4904,2015/3/13,148.0
1,4904,2015/3/14,180.0
2,4904,2015/3/15,345.0
3,4904,2015/3/16,394.0
4,4904,2015/3/17,396.0
5,4904,2015/3/18,378.0
6,4904,2015/3/19,324.0
7,4904,2015/3/20,190.0
8,4904,2015/3/21,160.0
9,4904,2015/3/22,364.0
10,4904,2015/3/23,322.0
11,4904,2015/3/24,388.0
12,4904,2015/3/25,376.0
13,4904,2015/3/26,339.0
14,4904,2015/3/27,222.0
15,4904,2015/3/28,217.0
16,4904,2015/3/29,374.0
17,4904,2015/3/30,360.0
18,4904,2015/3/31,418.0
19,4904,2015/4/1,440.0
20,4904,2015/4/10,260.0
21,4904,2015/4/11,280.0
22,4904,2015/4/12,350.0
23,4904,2015/4/13,420.0
24,4904,2015/4/14,398.0
25,4904,2015/4/15,396.0
26,4904,2015/4/16,370.0
27,4904,2015/4/17,314.0
28,4904,2015/4/18,206.0
29,4904,2015/4/19,336.0
30,4904,2015/4/2,326.0
31,4904,2015/4/20,382.0
32,4904,2015/4/21,406.0
33,4904,2015/4/22,408.0
34,4904,2015/4/23,348.0
35,4904,2015/4/24,253.0
36,4904,2015/4/25,244.0
37,4904,2015/4/26,422.0
38,4904,2015/4/27,426.0
39,4904,2015/4/28,372.0
40,4904,2015/4/29,410.0
41,4904,2015/4/3,284.0
42,4904,2015/4/30,358.0
43,4904,2015/4/4,235.0
44,4904,2015/4/5,398.0
45,4904,2015/4/6,402.0
46,4904,2015/4/7,432.0
47,4904,2015/4/8,447.0
48,4904,2015/4/9,374.0
49,4904,2015/5/1,258.0
50,4904,2015/5/10,430.0
51,4904,2015/5/11,352.0
52,4904,2015/5/12,420.0
53,4904,2015/5/13,356.0
54,4904,2015/5/14,335.0
55,4904,2015/5/15,216.0
56,4904,2015/5/16,176.0
57,4904,2015/5/17,298.0
58,4904,2015/5/18,316.0
59,4904,2015/5/19,318.0
60,4904,2015/5/2,190.0
61,4904,2015/5/20,290.0
62,4904,2015/5/21,290.0
63,4904,2015/5/22,156.0
64,4904,2015/5/23,174.0
65,4904,2015/5/24,162.0
66,4904,2015/5/25,280.0
67,4904,2015/5/26,314.0
68,4904,2015/5/27,362.0
69,4904,2015/5/28,262.0
70,4904,2015/5/29,246.0
