PLU,MenuItemId,RecipeId
111000004,1,6
121000004,2,7
112000004,3,2
122000004,4,8
131000004,5,9
161000004,6,98
111000008,7,45
121000008,8,47
112000008,9,46
122000008,10,48
131000008,11,49
111000012,12,10
121000012,13,12
112000012,14,11
122000012,15,13
131000012,16,14
161000012,17,99
111000011,18,35
121000011,19,37
112000011,20,36
122000011,21,38
131000011,22,39
111000007,23,60
121000007,24,62
112000007,25,61
122000007,26,63
131000007,27,64
111000074,28,161
121000074,29,163
112000074,30,162
122000074,31,164
131000074,32,165
111000018,33,65
121000018,34,67
112000018,35,66
122000018,36,68
131000018,37,69
111000021,38,102
121000021,39,104
112000021,40,103
122000021,41,105
131000021,42,106
111000005,43,107
121000005,44,109
112000005,45,108
122000005,46,110
131000005,47,111
111000017,48,50
121000017,49,52
112000017,50,51
122000017,51,53
131000017,52,54
111000015,53,55
121000015,54,57
112000015,55,56
122000015,56,58
131000015,57,59
111000003,58,93
121000003,59,95
112000003,60,94
122000003,61,96
131000003,62,97
111000014,63,15
121000014,64,17
112000014,65,16
122000014,66,18
131000014,67,19
161000014,68,100
111000002,69,40
121000002,70,42
112000002,71,41
122000002,72,43
131000002,73,44
111000006,74,75
121000006,75,77
112000006,76,76
122000006,77,78
131000006,78,79
161000006,79,80
111000010,80,30
121000010,81,32
112000010,82,31
122000010,83,33
131000010,84,34
111000050,85,25
121000050,86,27
112000050,87,26
122000050,88,28
131000050,89,29
111000001,90,20
121000001,91,22
112000001,92,21
122000001,93,23
131000001,94,24
161000001,95,101
111000027,96,112
121000027,97,114
112000027,98,113
122000027,99,115
131000027,100,116
111000044,101,117
121000044,102,119
112000044,103,118
122000044,104,120
131000044,105,121
111000073,106,171
121000073,107,173
112000073,108,172
122000073,109,174
131000073,110,175
111000045,111,166
121000045,112,168
112000045,113,167
122000045,114,169
131000045,115,170
111000046,116,203
121000046,117,205
112000046,118,204
122000046,119,206
111000048,120,198
121000048,121,200
112000048,122,199
122000048,123,201
131000048,124,202
111000009,125,207
121000009,126,209
112000009,127,208
122000009,128,210
131000009,129,211
111000016,130,212
121000016,131,214
112000016,132,213
122000016,133,215
131000016,134,216
161000016,135,217
131000028,136,197
111000020,137,228
121000020,138,230
112000020,139,229
122000020,140,231
131000020,141,232
111000026,142,218
121000026,143,220
112000026,144,219
122000026,145,221
131000026,146,222
111000039,147,223
121000039,148,225
112000039,149,224
122000039,150,226
131000039,151,227
111000054,152,233
121000054,153,235
112000054,154,234
122000054,155,236
131000054,156,237
111000052,157,238
121000052,158,240
112000052,159,239
122000052,160,241
131000052,161,242
111000076,162,248
121000076,163,250
112000076,164,249
122000076,165,251
111000024,166,243
121000024,167,245
112000024,168,244
122000024,169,246
131000024,170,247
111000047,171,262
121000047,172,264
112000047,173,263
122000047,174,265
131000047,175,266
111000056,176,295
121000056,177,297
112000056,178,296
122000056,179,298
131000056,180,299
111000059,181,287
121000059,182,289
112000059,183,288
122000059,184,290
131000059,185,291
111000058,186,282
121000058,187,284
112000058,188,283
122000058,189,285
131000058,190,286
111000143,191,273
121000143,192,275
112000143,193,274
122000143,194,276
131000143,195,277
111000142,196,257
121000142,197,259
112000142,198,258
122000142,199,260
131000142,200,261
111000060,201,267
121000060,202,269
112000060,203,268
122000060,204,270
131000060,205,271
111000019,206,252
121000019,207,254
112000019,208,253
122000019,209,255
131000019,210,256
113000030,211,146
123000030,212,148
114000030,213,147
124000030,214,149
141000030,215,150
164200030,216,180
164100030,217,179
194000030,218,181
113000032,219,127
123000032,220,129
114000032,221,128
124000032,222,130
141000032,223,131
164100032,224,178
164200032,225,176
194000032,226,177
113000031,227,137
123000031,228,139
114000031,229,138
124000031,230,140
141000031,231,145
164100031,232,185
164200031,233,186
194000031,234,187
113000034,235,151
123000034,236,153
114000034,237,152
124000034,238,154
141000034,239,155
164100034,240,191
164200034,241,192
194000034,242,193
113000068,243,132
123000068,244,134
114000068,245,133
124000068,246,135
141000068,247,136
164100068,248,182
164200068,249,183
194000068,250,184
113000051,251,156
123000051,252,158
114000051,253,157
124000051,254,159
141000051,255,160
164100051,256,194
164200051,257,195
194000051,258,196
113000067,259,122
123000067,260,124
114000067,261,123
124000067,262,125
141000067,263,126
164100067,264,188
164200067,265,189
194000067,266,190
151000125,267,293
151000120,268,278
151000121,269,292
151000040,270,279
151000122,271,280
151000123,272,281
331000118,273,272
341000105,274,294
341000102,275,301
321000101,276,300
311000100,277,302
221000135,278,304
221000133,279,303
212000126,280,305
215000145,281,306
186000004,282,307
186000008,283,308
186000017,284,309
186000006,285,310
186000014,286,311
186000012,287,312
186000011,288,313
186000005,289,314
111000055,290,315
112000055,291,316
121000055,292,317
122000055,293,318
131000055,294,319
186000048,295,320
186000060,296,321
186000016,297,322
111000075,298,323
112000075,299,324
121000075,300,325
122000075,301,326
131000075,302,327
212000131,303,328
111000042,304,329
112000042,305,330
121000042,306,331
122000042,307,332
131000042,308,333
113000149,309,334
114000149,310,335
123000149,311,336
124000149,312,337
141000149,313,338
164100149,314,339
164200149,315,340
194000149,316,341
215000144,317,342
216000147,318,343
216000146,319,344
111000065,320,345
112000065,321,346
121000065,322,347
122000065,323,348
131000065,324,349
186000065,325,350
111000041,326,358
121000041,327,360
112000041,328,359
122000041,329,361
131000041,330,362
113000150,331,351
123000150,332,353
114000150,333,352
124000150,334,354
194000150,335,357
164200150,336,356
164100150,337,355
342000104,338,462
321000077,339,464
321000177,340,465
321000178,341,466
342000108,342,467
186000041,343,363
111000025,344,364
186000055,345,365
186000010,346,366
165100148,347,367
111000038,348,368
112000038,349,369
121000038,350,370
122000038,351,371
131000038,352,372
161000038,353,373
186000038,354,374
111000040,355,375
112000040,356,376
121000040,357,377
122000040,358,378
131000040,359,379
161000040,360,380
186000040,361,381
174000139,362,382
175000139,363,383
221000137,364,384
221000134,365,385
111000159,366,386
112000159,367,387
121000159,368,388
122000159,369,389
131000159,370,390
111000161,371,391
112000161,372,392
121000161,373,393
122000161,374,394
131000161,375,395
111000037,376,396
112000037,377,397
121000037,378,398
122000037,379,399
131000037,380,400
186000037,381,401
111000043,382,402
112000043,383,403
121000043,384,404
122000043,385,405
131000043,386,406
111000162,387,407
112000162,388,408
121000162,389,409
122000162,390,410
131000162,391,411
111000151,392,412
112000151,393,413
121000151,394,414
122000151,395,415
131000151,396,416
111000163,397,417
112000163,398,418
121000163,399,419
122000163,400,420
131000163,401,421
111000164,402,422
112000164,403,423
121000164,404,424
122000164,405,425
131000164,406,426
111000166,407,427
112000166,408,428
121000166,409,429
122000166,410,430
131000166,411,431
111000168,412,432
112000168,413,433
121000168,414,434
122000168,415,435
131000168,416,436
111000160,417,437
112000160,418,438
121000160,419,439
122000160,420,440
131000160,421,441
186000160,422,442
111000158,423,443
112000158,424,444
121000158,425,445
122000158,426,446
131000158,427,447
111000093,428,448
112000093,429,449
121000093,430,450
122000093,431,451
131000093,432,452
111000153,433,453
112000153,434,454
121000153,435,455
122000153,436,456
131000153,437,457
174000062,438,458
174000040,439,459
331000119,440,460
342000106,441,461
342000107,442,463
166000182,443,474
113000180,444,484
114000180,445,485
123000180,446,486
124000180,447,487
141000180,448,488
164000180,449,489
164200180,450,490
194000180,451,491
164100180,452,492
331000117,453,563
166000188,454,573
174000037,455,584
175000037,456,585
176000037,457,586
173000004,458,587
173000014,459,588
173000012,460,589
173000038,461,590
173000040,462,591
173000006,463,592
173000003,464,593
111000189,465,468
112000189,466,469
121000189,467,470
122000189,468,471
131000189,469,472
186000189,470,473
113000182,471,475
114000182,472,476
123000182,473,477
124000182,474,478
141000182,475,479
164000182,476,480
164100182,477,481
164200182,478,482
194000182,479,483
113000180,480,493
114000180,481,494
123000180,482,495
124000180,483,496
141000180,484,497
164000180,485,498
164100180,486,499
164200180,487,500
194000180,488,501
113000183,489,502
114000183,490,503
123000183,491,504
124000183,492,505
141000183,493,506
164000183,494,507
164100183,495,508
164200183,496,509
194000183,497,510
113000181,498,511
114000181,499,512
123000181,500,513
124000181,501,514
141000181,502,515
164000181,503,516
164100181,504,517
164200181,505,518
194000181,506,519
113000184,507,520
114000184,508,521
123000184,509,522
124000184,510,523
141000184,511,524
164000184,512,525
164100184,513,526
164200184,514,527
194000184,515,528
113000187,516,529
114000187,517,530
123000187,518,531
124000187,519,532
141000187,520,533
164000187,521,534
164100187,522,535
164200187,523,536
194000187,524,537
113000186,525,538
114000186,526,539
123000186,527,540
124000186,528,541
141000186,529,542
164000186,530,543
164100186,531,544
164200186,532,545
194000186,533,546
113000185,534,547
114000185,535,548
123000185,536,549
124000185,537,550
141000185,538,551
164000185,539,552
164100185,540,553
164200185,541,554
194000185,542,555
166000183,543,556
166000180,544,557
166000181,545,558
166000184,546,559
166000187,547,560
166000186,548,561
166000185,549,562
113000033,550,564
114000033,551,565
123000033,552,566
124000033,553,567
141000033,554,568
164000033,555,569
164100033,556,570
164200033,557,571
194000033,558,572
171000008,559,574
172000008,560,575
164000149,561,576
164000030,562,577
164000032,563,578
175000062,564,579
176000062,565,580
176000139,566,581
175000040,567,582
176000040,568,583
171000017,569,594
172000017,570,595
172000015,571,596
171000015,572,597
172000011,573,598
171000011,574,599
171000014,575,600
172000014,576,601
171000012,577,602
172000012,578,603
171000004,579,604
172000004,580,605
172000002,581,606
171000002,582,607
171000005,583,608
172000005,584,609
171000007,585,610
172000007,586,611
171000006,587,612
172000006,588,613
171000050,589,614
172000050,590,615
171000010,591,616
172000010,592,617
171000018,593,618
172000018,594,619
171000003,595,620
172000003,596,621
171000044,597,622
172000044,598,623
171000021,599,624
172000021,600,625
171000055,601,626
172000055,602,627
171000074,603,628
172000074,604,629
111000173,605,630
112000173,606,631
121000173,607,632
122000173,608,633
131000173,609,634
171000173,610,635
172000173,611,636
173000036,612,665
231000111,613,853
232000112,614,854
178000080,615,864
172000063,616,865
171000063,617,866
161000063,618,867
141000063,619,868
122000063,620,869
112000063,621,870
165000063,622,871
165100063,623,872
165200063,624,873
171000073,625,637
172000073,626,638
173000142,627,639
171000020,628,640
172000020,629,641
171000166,630,642
172000166,631,643
171000060,632,644
172000060,633,645
173000060,634,646
171000041,635,647
172000041,636,648
171000009,637,649
172000009,638,650
171000016,639,651
172000016,640,652
173000016,641,653
171000054,642,654
172000054,643,655
171000042,644,656
172000042,645,657
171000019,646,658
172000019,647,659
171000160,648,660
172000160,649,661
173000160,650,662
171000161,651,663
172000161,652,664
112000025,653,666
121000025,654,667
122000025,655,668
131000025,656,669
171000058,657,670
172000058,658,671
171000059,659,672
172000059,660,673
171000093,661,674
172000093,662,675
171000158,663,676
172000158,664,677
173000158,665,678
112000190,666,679
121000190,667,680
122000190,668,681
131000190,669,682
186000190,670,683
171000190,671,684
172000190,672,685
321000191,673,686
173000124,674,691
173000122,675,692
173000121,676,693
173000125,677,694
173000120,678,695
111000155,679,696
112000155,680,697
121000155,681,698
122000155,682,699
131000155,683,700
186000155,684,701
171000155,685,702
172000155,686,703
111000156,687,704
112000156,688,705
121000156,689,706
122000156,690,707
131000156,691,708
171000156,692,709
172000156,693,710
171000043,694,711
172000043,695,712
171000162,696,713
172000162,697,714
171000151,698,715
172000151,699,716
171000163,700,717
172000163,701,718
171000045,702,719
172000045,703,720
171000164,704,721
172000164,705,722
171000142,706,723
172000142,707,724
171000046,708,725
172000046,709,726
171000143,710,727
172000143,711,728
171000076,712,729
172000076,713,730
171000075,714,731
172000075,715,732
171000049,716,733
112000049,717,739
121000049,718,740
122000049,719,741
131000049,720,742
172000049,721,743
171000047,722,749
172000047,723,750
171000048,724,751
172000048,725,752
171000039,726,753
172000039,727,754
171000040,728,755
172000040,729,756
111000061,730,757
112000061,731,758
121000061,732,759
122000061,733,760
131000061,734,761
171000038,735,762
172000038,736,763
171000024,737,764
172000024,738,765
111000171,739,766
112000171,740,767
121000171,741,768
122000171,742,769
131000171,743,770
171000171,744,771
172000171,745,773
111000072,746,774
112000072,747,775
121000072,748,776
122000072,749,777
131000072,750,778
171000072,751,780
172000072,752,781
171000052,753,782
172000052,754,783
111000071,755,784
112000071,756,785
121000071,757,786
122000071,758,787
131000071,759,788
186000071,760,789
171000071,761,790
172000071,762,791
171000065,763,792
172000065,764,793
186000054,765,794
186000153,766,795
186000072,767,796
111000172,768,797
112000172,769,798
121000172,770,799
122000172,771,800
131000172,772,801
186000172,773,802
171000172,774,803
172000172,775,804
171000153,776,805
172000153,777,806
161100067,778,807
161100032,779,808
161100068,780,809
161100031,781,810
161100030,782,811
161100034,783,812
161100051,784,813
161100149,785,814
161100185,786,815
161100182,787,816
161100186,788,817
161100181,789,818
161100180,790,819
161100184,791,820
161100187,792,821
186000002,793,822
186000001,794,823
161000002,795,824
186000007,796,825
131000046,797,826
131000076,798,827
111000070,799,828
112000070,800,829
121000070,801,830
122000070,802,831
131000070,803,832
186000070,804,833
171000070,805,834
172000070,806,835
111000094,807,836
112000094,808,837
121000094,809,838
122000094,810,839
131000094,811,840
171000094,812,841
172000094,813,842
111000198,814,844
112000198,815,845
121000198,816,846
122000198,817,847
131000198,818,848
161000198,819,849
186000198,820,850
171000198,821,851
172000198,822,852
171000068,823,855
172000068,824,856
171000030,825,857
172000030,826,858
171000031,827,859
172000031,828,860
176000031,829,861
171000067,830,862
172000067,831,863
171000051,832,874
172000051,833,875
171000034,834,876
172000034,835,877
111000192,836,878
112000192,837,879
121000192,838,880
122000192,839,881
131000192,840,882
171000192,841,883
172000192,842,884
171000061,843,885
172000061,844,886
113000197,845,887
114000197,846,888
123000197,847,889
124000197,848,890
141000197,849,891
164000197,850,892
164100197,851,893
164200197,852,894
194000197,853,895
111000203,854,896
112000203,855,897
121000203,856,898
122000203,857,899
131000203,858,900
111000204,859,901
112000204,860,902
121000204,861,903
122000204,862,904
131000204,863,905
111000170,864,906
112000170,865,907
121000170,866,908
122000170,867,909
131000170,868,910
171000170,869,911
172000170,870,912
111000169,871,913
112000169,872,914
121000169,873,915
122000169,874,916
131000169,875,917
111000195,876,918
112000195,877,919
121000195,878,920
122000195,879,921
131000195,880,922
111000194,881,923
112000194,882,924
121000194,883,925
122000194,884,926
131000194,885,927
171000195,886,928
172000195,887,929
171000194,888,930
172000194,889,931
341000201,890,933
111000165,891,935
112000165,892,936
121000165,893,937
122000165,894,938
131000165,895,939
171000165,896,940
172000165,897,941
243000199,898,942
243000200,899,943
161000054,900,944
161000052,901,945
161000071,902,946
141000150,903,947
173000206,904,948
174000036,905,949
174000036,906,949
175000036,907,950
176000036,908,951
177000124,909,952
177000122,910,953
177000121,911,954
177000125,912,955
177000120,913,956
173000037,914,957
173000202,915,958
221000136,916,964
185000210,917,959
185100210,918,960
181000210,919,961
346000210,920,962
321000179,921,963
411000211,922,965
411000212,923,966
411000213,924,967
411000214,925,968
411000215,926,969
411000216,927,970
411000217,928,971
411000218,929,972
212000086,930,973
215000091,931,974
216000092,932,975
181000207,933,976
181000208,934,977
181000209,935,978
113000035,936,979
114000035,937,980
123000035,938,981
124000035,939,982
141000035,940,983
164000035,941,984
164100035,942,985
164200035,943,986
194000035,944,987
171000035,945,988
172000035,946,989
113000221,947,990
114000221,948,991
123000221,949,992
124000221,950,993
141000221,951,994
164000221,952,995
164100221,953,996
164200221,954,997
194000221,955,998
171000221,956,999
172000221,957,1000
173000062,958,1021
173000041,959,1022
175000202,960,1023
174000202,961,1024
176000202,962,1025
173000048,963,1027
173000010,964,1028
176000206,965,1029
174000050,966,1030
175000050,967,1031
175000031,968,1032
174000031,969,1033
173000031,970,1034
173000019,971,1035
175000206,972,1036
174000206,973,1037
176000004,977,1026
172100068,978,856
172100031,979,860
172100067,980,863
172100051,981,875
172100034,982,877
172100035,983,989
172100221,984,1000
171100068,985,855
171100030,986,857
172100030,987,858
171100031,988,859
171100067,989,862
171100051,990,874
171100034,991,876
171100035,992,988
171100221,993,999
172100033,994,1041
171100033,995,1042
345000080,998,864
178000080,999,864
165000235,1000,1061
164000235,1001,1063
113000220,1002,1001
114000220,1003,1002
123000220,1004,1003
124000220,1005,1004
141000220,1006,1005
164000220,1007,1006
164100220,1008,1007
164200220,1009,1008
194000220,1010,1009
113000219,1011,1010
114000219,1012,1011
123000219,1013,1012
124000219,1014,1013
141000219,1015,1014
164000219,1016,1015
164100219,1017,1016
164200219,1018,1017
194000219,1019,1018
166000219,1020,1019
166000220,1021,1020
181000227,1022,1043
181000228,1023,1044
181000158,1024,1045
181000226,1025,1046
181000232,1026,1047
346000233,1027,1048
111000205,1028,1049
112000205,1029,1050
121000205,1030,1051
122000205,1031,1052
131000205,1032,1053
161000205,1033,1054
186000205,1034,1055
174000205,1035,1056
175000205,1036,1057
173000205,1037,1058
111000063,1038,1064
112000063,1039,1065
121000063,1040,1066
122000063,1041,1067
131000063,1042,1068
161000063,1043,1069
151000063,1044,1070
186000004,1045,307
186000008,1046,308
186000017,1047,309
186000006,1048,310
186000014,1049,311
186000012,1050,312
186000011,1051,313
186000005,1052,314
186000048,1053,320
186000060,1054,321
186000016,1055,322
186000065,1056,350
186000041,1057,363
186000055,1058,365
186000010,1059,366
186000038,1060,374
186000040,1061,381
186000037,1062,401
186000160,1063,442
186000189,1064,473
186000190,1065,683
186000155,1066,701
186000071,1067,789
186000054,1068,794
186000153,1069,795
186000072,1070,796
186000172,1071,802
186000002,1072,822
186000001,1073,823
186000007,1074,825
186000070,1075,833
186000198,1076,850
186000205,1077,1055
171000236,1078,1073
172000236,1079,1074
161000003,1080,1075
173000236,1081,1076
348000237,1082,1077
174000236,1083,1082
175000236,1084,1083
176100067,1085,1084
176100068,1086,1085
176100031,1087,1086
176100030,1088,1087
176100034,1089,1088
176100051,1090,1089
176100033,1091,1090
176100221,1092,1091
176100035,1093,1092
175000247,1094,1102
111000241,1095,1093
111000242,1096,1103
111000246,1097,1110
112000246,1098,1111
111000095,1099,1118
112000095,1100,1119
111000174,1101,1125
112000174,1102,1126
111000240,1103,1141
111000245,1104,1149
112000245,1105,1150
151000124,1106,1157
221000250,1107,1158
112000241,1108,1094
121000241,1109,1095
122000241,1110,1096
131000241,1111,1097
171000241,1112,1099
172000241,1113,1100
173000241,1114,1101
112000242,1115,1104
121000242,1116,1105
122000242,1117,1106
131000242,1118,1107
121000246,1119,1112
122000246,1120,1113
131000246,1121,1114
121000095,1122,1120
122000095,1123,1121
131000095,1124,1122
121000174,1125,1127
122000174,1126,1128
131000174,1127,1129
113000248,1128,1132
123000248,1129,1134
124000248,1130,1135
141000248,1131,1136
164000248,1132,1137
164100248,1133,1138
194000248,1134,1140
112000240,1135,1142
121000240,1136,1143
122000240,1137,1144
131000240,1138,1145
121000245,1139,1151
122000245,1140,1152
131000245,1141,1153
243000249,1142,1156
164000068,1143,1159
164000067,1144,1160
164000034,1145,1161
173000247,1146,1170
173000084,1147,1171
232000113,1148,1188
231000114,1149,1189
172000242,1150,1109
171000246,1151,1116
172000246,1152,1117
171000095,1153,1123
172000095,1154,1124
171000174,1155,1130
172000174,1156,1131
114000248,1157,1133
164200248,1158,1139
171000240,1159,1147
172000240,1160,1148
171000245,1161,1154
172000245,1162,1155
111000229,1163,1162
112000229,1164,1163
