StoreNumber,Quantity,PLU,Id,date
46673,1,111000041,326,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,121000008,8,2015/3/5
12631,1,121000001,91,2015/3/5
12631,1,175000062,564,2015/3/5
46673,1,121000012,13,2015/3/5
12631,1,111000002,69,2015/3/5
12631,1,221000133,279,2015/3/5
12631,1,121000018,34,2015/3/5
12631,1,121000004,2,2015/3/5
12631,1,311000100,277,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,221000133,279,2015/3/5
46673,1,111000012,12,2015/3/5
46673,1,121000017,49,2015/3/5
46673,1,111000017,48,2015/3/5
46673,1,121000012,13,2015/3/5
12631,1,111000731,7038,2015/3/5
46673,1,221000133,279,2015/3/5
46673,1,111000054,152,2015/3/5
46673,1,221000133,279,2015/3/5
12631,2,321000101,276,2015/3/5
12631,1,311000100,277,2015/3/5
46673,1,111000018,33,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,221000133,279,2015/3/5
12631,2,321000101,276,2015/3/5
12631,2,221000134,365,2015/3/5
46673,1,111000021,38,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,111000004,1,2015/3/5
12631,1,212000126,280,2015/3/5
46673,1,121000018,34,2015/3/5
46673,1,311000100,277,2015/3/5
12631,2,321000101,276,2015/3/5
12631,1,321000101,276,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,175000036,907,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,111000050,85,2015/3/5
46673,1,121000021,39,2015/3/5
46673,1,212000126,280,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,212000126,280,2015/3/5
12631,1,311000100,277,2015/3/5
12631,2,321000101,276,2015/3/5
46673,1,212000126,280,2015/3/5
46673,1,221000133,279,2015/3/5
46673,1,311000100,277,2015/3/5
46673,1,121000012,13,2015/3/5
12631,2,212000126,280,2015/3/5
12631,3,221000136,916,2015/3/5
12631,1,212000126,280,2015/3/5
12631,1,121000004,2,2015/3/5
46673,1,111000006,74,2015/3/5
46673,1,311000100,277,2015/3/5
12631,2,321000101,276,2015/3/5
12631,1,111000018,33,2015/3/5
46673,1,121000018,34,2015/3/5
12631,1,111000001,90,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,311000100,277,2015/3/5
12631,1,111000006,74,2015/3/5
46673,1,121000006,75,2015/3/5
12631,1,121000005,44,2015/3/5
12631,1,111000012,12,2015/3/5
12631,1,121000003,59,2015/3/5
46673,1,221000133,279,2015/3/5
12631,1,174000038,1232,2015/3/5
46673,1,321000177,340,2015/3/5
46673,1,221000133,279,2015/3/5
46673,1,321000177,340,2015/3/5
12631,1,111000012,12,2015/3/5
46673,1,212000126,280,2015/3/5
12631,1,111000008,7,2015/3/5
12631,1,121000008,8,2015/3/5
12631,2,321000101,276,2015/3/5
46673,1,121000006,75,2015/3/5
46673,1,221000134,365,2015/3/5
12631,1,121000001,91,2015/3/5
12631,1,212000126,280,2015/3/5
46673,1,321000101,276,2015/3/5
46673,1,111000006,74,2015/3/5
12631,1,111000021,38,2015/3/5
12631,2,321000101,276,2015/3/5
12631,1,221000133,279,2015/3/5
46673,1,121000001,91,2015/3/5
