Gender,Age,Income,Score,Noisy1,Noisy2,Noisy3,Noisy4
0,19,15,39,25,89,33,93
0,21,15,81,21,95,51,106
1,20,16,6,25,84,38,86
1,23,16,77,23,95,28,79
1,31,17,40,21,87,38,96
1,22,17,76,29,96,40,83
1,35,18,6,28,78,32,94
1,23,18,94,19,90,39,78
0,64,19,3,22,100,39,82
1,30,19,72,21,81,53,94
0,67,19,14,20,99,42,78
1,35,19,99,27,76,43,93
1,58,20,15,33,89,43,95
1,24,20,77,28,91,40,91
0,37,20,13,28,102,38,82
0,22,20,79,29,98,46,88
1,35,21,35,29,98,41,84
0,20,21,66,25,91,40,85
0,52,23,29,26,86,39,80
1,35,23,98,23,91,42,86
0,35,24,35,24,93,42,92
0,25,24,73,33,72,31,108
1,46,25,5,28,94,48,102
0,31,25,73,29,90,45,90
1,54,28,14,26,92,49,73
0,29,28,82,26,93,40,83
1,45,28,32,32,65,43,78
0,35,28,61,24,91,57,97
1,40,29,31,28,94,47,94
1,23,29,87,23,97,30,82
0,60,30,4,31,80,41,97
1,21,30,73,33,90,46,89
0,53,33,4,28,94,55,86
0,18,33,92,19,88,49,84
1,49,33,14,24,75,43,70
1,21,33,81,32,90,32,78
1,42,34,17,26,98,42,90
1,30,34,73,29,73,51,68
1,36,37,26,26,107,46,91
1,20,37,75,20,73,45,86
1,65,38,35,19,79,48,84
0,24,38,92,27,89,34,85
0,48,39,36,27,89,42,69
1,31,39,61,22,74,50,81
1,49,39,28,25,72,51,98
1,24,39,65,25,81,42,94
1,50,40,55,29,102,31,88
1,27,40,47,16,85,40,88
1,29,40,42,33,79,47,90
1,31,40,42,23,80,43,84
1,49,42,52,29,99,39,85
0,33,42,60,29,99,46,84
1,31,43,54,29,86,41,74
0,59,43,60,25,100,35,90
1,50,43,45,27,95,49,96
0,47,43,41,16,91,37,100
1,51,44,50,22,77,38,105
0,69,44,46,26,99,53,82
1,27,46,51,22,70,41,73
0,53,46,46,19,88,51,90
0,70,46,56,23,82,53,90
0,19,46,55,22,68,53,105
1,67,47,52,34,82,47,80
1,54,47,59,29,90,46,90
0,63,48,51,22,96,30,90
0,18,48,59,25,97,40,98
1,43,48,50,28,87,30,78
1,68,48,48,32,78,37,106
0,19,48,59,29,77,34,83
1,32,48,47,18,93,45,90
0,70,49,55,19,95,41,93
1,47,49,42,21,102,39,73
1,60,50,49,23,82,42,103
1,60,50,56,25,93,40,91
0,59,54,47,26,84,46,100
0,26,54,54,26,100,37,81
1,45,54,53,22,76,28,79
0,40,54,48,18,87,40,81
1,23,54,52,23,82,32,104
1,49,54,42,33,93,44,78
0,57,54,51,28,94,38,92
0,38,54,55,31,81,44,78
0,67,54,41,23,79,35,85
1,46,54,44,33,87,40,99
1,21,54,57,23,55,38,80
0,48,54,46,21,73,48,102
1,55,57,58,28,92,45,89
1,22,57,55,28,72,40,93
1,34,58,60,26,91,46,84
1,50,58,46,31,99,41,92
1,68,59,55,20,87,44,88
0,18,59,41,25,81,57,82
0,48,60,49,24,96,39,87
1,40,60,40,23,81,59,94
1,32,60,42,23,94,45,69
0,24,60,52,27,86,44,96
1,47,60,47,20,93,45,84
1,27,60,50,22,91,57,93
0,48,61,42,32,77,41,75
0,20,61,49,27,94,37,76
1,23,62,41,26,96,48,79
1,49,62,48,26,92,42,88
0,67,62,59,30,81,42,91
0,26,62,55,26,85,39,84
0,49,62,56,24,90,38,91
1,21,62,42,30,90,45,73
1,66,63,50,23,91,24,96
0,54,63,46,23,78,33,86
0,68,63,43,26,98,53,84
0,66,63,48,41,84,32,77
0,65,63,52,25,91,47,98
1,19,63,54,24,75,46,76
1,38,64,42,32,79,33,105
0,19,64,46,36,84,39,83
1,18,65,48,23,111,44,112
1,19,65,50,31,78,38,91
1,63,65,43,21,83,43,82
1,49,65,59,29,71,39,84
1,51,67,43,23,93,44,85
1,50,67,57,20,91,34,76
0,27,67,56,28,75,24,83
1,38,67,40,17,73,35,96
1,40,69,58,25,86,36,82
0,39,69,91,30,88,33,83
1,23,70,29,34,96,36,95
